Name,Guild,Race,Total Level,Items
Hankrillon,,Elf Male,0,
OOrion0,Primrose,Human Male,1057,
Woofydawg,Crowbitonest,Human Male,53782,
Licwz,Eradicate,Giant Female,64319,
Jackx,,Elf Male,2733,
Samurai101,Cowcafe,Human Male,71232,19406
Irishdove,,Human Female,20965,
Carnyaige,Sundew,Human Female,39206,
Rokaku,Peace,Human Male,60675,
Nashiichii,Frens,Elf Female,62827,
Ikininja,Spookybunnys,Human Female,4345,
Sakuranbou,Severe,Human Female,109035,19407;1040054
Mikeho,Goodmorning,Human Male,75289,
Obbie2002,,Human Male,0,
Ayanami02,Juice,Human Female,80248,
Garythesnail,Whaleforce,Elf Male,48350,
Kidlokie,Motion,Human Male,69399,
Kenyu,,Human Male,78458,
Kasulah,Oaks,Elf Female,39934,
Ryukossun,Abaddon,Human Male,24119,
Saskpower,Eggie,Elf Male,76686,
Ayeayesir,,Giant Male,20476,
Kirikanna,,Human Female,69642,
Zodack,Mabeon,Human Male,49848,
sjalen11,Hybridtheory,Human Male,22945,
Shiemizu,Arrowstar,Human Female,86495,
clairedlune,Cakes,Human Female,60094,
Niteroi,Goodmorning,Giant Female,49474,
Jamezzx,Boopsquad,Human Male,36308,
Hangerdown,Dinner,Giant Male,63167,
Utskushii,Severe,Giant Male,45105,
Kimiwata,Holyhydra,Human Male,80794,
Mintea,Andromeda,Human Female,47903,
Bulgogi2,,Human Male,92041,
Bahilu,Terrasen,Human Female,35665,
Nanawawa,Onlynyans,Elf Female,71947,
Liliyanna,,Elf Female,20643,
Amanditachan,,Human Female,973,
Raemonde,Integritas,Human Male,25946,
Haztyr,Treehouse,Human Male,104736,
Izanamii,Niflhel,Human Female,19417,
bazing,,Human Male,25806,
Kesirran,,Human Male,25581,
Absolc,,Human Male,24985,
ozempik,Motion,Human Male,41513,
Jimin,Guild101,Human Female,74719,
Pelu,Zenko,Human Female,60601,
angelosmorte,Shenanigans,Human Male,28097,
Kurukima,Endura,Elf Female,38316,
Chelka,Delirium,Human Female,44519,
Lexyvil,Troupe,Elf Male,22165,
Alosior,Isekai,Human Male,7752,
Rezylia,Frosty,Human Female,33576,
shino12+Ruairi,ICRKI,Human Male,63917,
Ciest,Fenith,Human Female,45306,
Tamakokun,Alliances,Human Male,40234,
Kellganziz,,Giant Male,0,
USPresident,thorny,Human Female,31305,
lego1042,Nightingale,Human Male,88817,
Drksephira,Zenko,Elf Female,23825,
Ziplocbag,,Elf Female,53227,
Mavlic,Hystoria,Human Male,29505,
Valenholdt,Privateers,Giant Male,63387,
deadscared,Lost,Human Male,60809,
Lairati,googolplex,Giant Female,32864,
Biohack,Peace,Elf Male,57400,
Kearah,Empyrean,Elf Female,50586,
TPPSTJWAAL,Artificers,Human Male,75176,
Teslabolt,Niflhel,Human Male,70332,
Spitfire666,Dinner,Human Male,38484,
Drazil,Takingover,Human Male,63343,
Vurad,Delirium,Human Male,27684,
MVP,Goodmorning,Human Female,101899,19407
Rozzy,Grumbills,Human Female,87141,
DDriip,,Human Male,20039,
starlunar,Parttimers,Human Female,37982,
Cloudon,Village,Human Male,57869,
OO7,,Giant Male,0,
Kingroxi,Shenanigans,Elf Male,27709,
